"lat","long","Jan","Feb","state"
44,-76,1.57,2.51,"new york"
47,-69,1.49,2.44,"maine"
32,-84,2.71,3.37,"georgia"
33,-98,2.78,3.47,"texas"
46,-99,1.51,2.34,"north dakota"
36,-104,2.84,3.76,"new mexico"
37,-110,2.8,3.7,"arizona"
39,-109,2.52,3.37,"colorado"
40,-101,2.17,2.97,"kansas"
43,-97,1.76,2.55,"south dakota"
46,-92,1.53,2.51,"wisconsin"
37,-101,2.52,3.24,"oklahoma"
49,-98,1.28,2.2,"north dakota"
39,-92,2.06,2.75,"missouri"
40,-110,2.35,3.19,"utah"
43,-88,1.76,2.63,"wisconsin"
44,-90,1.73,2.68,"wisconsin"
33,-84,2.6,3.25,"georgia"
49,-105,1.25,2.17,"montana"
39,-99,2.26,2.95,"kansas"
40,-115,2.29,3.21,"nevada"
43,-111,2.04,3,"wyoming"
46,-110,1.53,2.48,"montana"
36,-83,2.16,2.76,"tennessee"
39,-123,2.11,3.03,"california"
34,-101,2.9,3.63,"texas"
40,-92,1.98,2.65,"missouri"
43,-119,1.8,2.73,"oregon"
47,-122,1.21,2.1,"washington"
43,-102,1.84,2.66,"south dakota"
44,-96,1.68,2.42,"minnesota"
46,-103,1.54,2.45,"north dakota"
30,-98,2.89,3.44,"texas"
34,-110,3.11,4.02,"arizona"
40,-97,2.1,2.75,"kansas"
38,-79,2.08,2.84,"virginia"
44,-101,1.68,2.49,"south dakota"
41,-83,1.8,2.61,"ohio"
30,-91,2.68,3.29,"louisiana"
31,-103,3.2,4.02,"texas"
37,-81,2.06,2.74,"virginia"
34,-87,2.35,3.01,"alabama"
35,-107,3.09,3.96,"new mexico"
44,-110,1.91,2.84,"wyoming"
41,-78,1.76,2.61,"pennsylvania"
31,-94,2.6,3.23,"texas"
34,-96,2.51,3.26,"oklahoma"
35,-114,2.99,3.84,"arizona"
44,-123,1.42,2.29,"oregon"
28,-98,2.86,3.47,"texas"
42,-77,1.7,2.53,"new york"
31,-85,2.79,3.5,"georgia"
45,-73,1.58,2.53,"vermont"
34,-97,2.6,3.33,"oklahoma"
35,-89,2.27,2.98,"tennessee"
40,-120,2.21,3.18,"nevada"
47,-94,1.5,2.5,"minnesota"
38,-106,2.66,3.55,"colorado"
48,-117,1.32,2.26,"idaho"
41,-96,1.93,2.62,"nebraska"
27,-81,3.41,4.12,"florida"
31,-84,2.82,3.5,"georgia"
45,-84,1.28,2.17,"michigan"
35,-96,2.46,3.17,"oklahoma"
48,-93,1.43,2.42,"minnesota"
38,-115,2.64,3.47,"nevada"
36,-120,2.45,3.59,"california"
41,-87,1.68,2.43,"indiana"
42,-95,1.82,2.58,"iowa"
45,-91,1.67,2.64,"wisconsin"
34,-83,2.56,3.23,"georgia"
47,-116,1.39,2.3,"idaho"
38,-92,2.11,2.81,"missouri"
41,-114,2.11,3.01,"utah"
42,-88,1.76,2.61,"illinois"
39,-76,1.99,2.81,"maryland"
45,-94,1.67,2.64,"minnesota"
35,-78,2.47,3.17,"north carolina"
47,-107,1.39,2.31,"montana"
48,-91,1.34,2.27,"minnesota"
38,-85,1.86,2.59,"kentucky"
41,-122,2.08,3.05,"california"
41,-105,2.14,2.99,"colorado"
42,-89,1.81,2.62,"illinois"
45,-118,1.54,2.48,"oregon"
39,-83,1.81,2.54,"ohio"
45,-101,1.61,2.42,"south dakota"
48,-116,1.35,2.27,"montana"
32,-103,3.17,3.93,"texas"
33,-107,3.35,4.24,"new mexico"
38,-94,2.13,2.81,"missouri"
36,-99,2.6,3.27,"oklahoma"
42,-114,1.89,2.77,"utah"
40,-76,1.89,2.75,"pennsylvania"
45,-112,1.72,2.68,"montana"
48,-105,1.34,2.27,"montana"
32,-96,2.62,3.32,"texas"
33,-102,3.06,3.81,"texas"
33,-117,3.11,3.88,"california"
36,-92,2.28,3.05,"arkansas"
42,-107,2.1,2.95,"wyoming"
37,-121,2.38,3.45,"california"
40,-81,1.79,2.53,"ohio"
43,-77,1.29,2.04,"new york"
32,-85,2.66,3.35,"georgia"
33,-109,3.26,4.08,"new mexico"
36,-113,2.82,3.66,"arizona"
37,-97,2.37,3.06,"kansas"
43,-84,1.62,2.44,"michigan"
33,-88,2.49,3.16,"alabama"
38,-121,2.26,3.29,"california"
36,-106,2.87,3.73,"new mexico"
37,-92,2.19,2.91,"missouri"
42,-117,1.88,2.74,"nevada"
27,-98,2.91,3.53,"texas"
46,-122,1.37,2.25,"washington"
39,-103,2.29,3.11,"colorado"
43,-75,1.67,2.59,"new york"
44,-75,1.61,2.57,"new york"
28,-82,3.29,3.93,"florida"
32,-83,2.76,3.42,"georgia"
33,-95,2.52,3.23,"texas"
46,-98,1.5,2.39,"north dakota"
36,-103,2.75,3.64,"texas"
37,-115,2.72,3.6,"nevada"
39,-110,2.48,3.31,"utah"
40,-104,2.18,3.07,"colorado"
43,-98,1.75,2.58,"south dakota"
44,-84,1.49,2.39,"michigan"
46,-91,1.53,2.51,"wisconsin"
37,-102,2.52,3.29,"kansas"
49,-95,1.33,2.25,"minnesota"
39,-85,1.82,2.55,"indiana"
40,-109,2.37,3.21,"colorado"
43,-89,1.79,2.65,"wisconsin"
44,-89,1.73,2.68,"wisconsin"
33,-81,2.67,3.33,"south carolina"
46,-116,1.51,2.42,"idaho"
49,-106,1.25,2.17,"montana"
39,-100,2.28,3,"kansas"
40,-86,1.84,2.56,"indiana"
43,-112,1.91,2.86,"idaho"
44,-98,1.68,2.46,"south dakota"
46,-109,1.53,2.48,"montana"
30,-104,3.46,4.32,"texas"
36,-78,2.37,3.1,"north carolina"
34,-108,3.13,4.05,"new mexico"
40,-91,1.96,2.64,"illinois"
43,-120,1.84,2.8,"oregon"
47,-123,1.11,1.96,"washington"
43,-103,1.87,2.71,"south dakota"
44,-95,1.69,2.44,"minnesota"
46,-102,1.52,2.39,"north dakota"
30,-97,2.79,3.35,"texas"
31,-105,3.33,4.13,"texas"
37,-79,2.28,3.02,"virginia"
34,-109,3.13,4.01,"new mexico"
35,-101,2.78,3.54,"texas"
40,-100,2.14,2.86,"kansas"
38,-78,2.12,2.87,"virginia"
44,-104,1.76,2.59,"south dakota"
41,-84,1.75,2.54,"ohio"
30,-90,2.71,3.35,"louisiana"
31,-104,3.21,4.02,"texas"
37,-82,2.02,2.63,"virginia"
34,-86,2.36,3,"alabama"
35,-108,3.01,3.9,"new mexico"
44,-109,1.84,2.8,"wyoming"
41,-75,1.81,2.73,"new jersey"
30,-83,2.96,3.68,"florida"
31,-95,2.61,3.26,"texas"
45,-71,1.59,2.5,"maine"
34,-95,2.44,3.17,"oklahoma"
35,-115,3,3.88,"california"
44,-118,1.68,2.63,"oregon"
42,-84,1.62,2.36,"michigan"
31,-86,2.76,3.49,"florida"
45,-74,1.58,2.53,"new york"
35,-90,2.28,2.99,"tennessee"
40,-119,2.25,3.24,"nevada"
47,-95,1.48,2.44,"minnesota"
38,-105,2.62,3.5,"colorado"
48,-120,1.35,2.27,"washington"
41,-93,1.88,2.6,"iowa"
27,-82,3.48,4.15,"florida"
35,-97,2.55,3.25,"oklahoma"
48,-96,1.4,2.35,"minnesota"
38,-114,2.61,3.47,"utah"
29,-99,2.91,3.53,"texas"
36,-119,2.57,3.55,"california"
41,-88,1.69,2.47,"illinois"
42,-94,1.82,2.57,"iowa"
45,-92,1.67,2.64,"wisconsin"
34,-82,2.58,3.26,"south carolina"
47,-109,1.38,2.31,"montana"
38,-91,2.09,2.82,"missouri"
41,-111,2.25,3.13,"wyoming"
45,-99,1.6,2.38,"south dakota"
35,-79,2.46,3.15,"north carolina"
47,-108,1.39,2.31,"montana"
48,-110,1.3,2.18,"montana"
32,-113,3.39,4.2,"arizona"
38,-100,2.4,3.08,"kansas"
41,-119,2.08,2.97,"nevada"
41,-106,2.1,2.99,"colorado"
42,-112,2.11,3.03,"utah"
45,-123,1.25,2.12,"oregon"
39,-84,1.82,2.55,"ohio"
45,-102,1.61,2.42,"south dakota"
48,-115,1.35,2.27,"montana"
32,-106,3.33,4.12,"new mexico"
33,-108,3.28,4.15,"new mexico"
38,-93,2.11,2.79,"missouri"
36,-94,2.29,2.98,"arkansas"
42,-113,1.97,2.82,"idaho"
37,-119,2.54,3.38,"california"
40,-75,1.93,2.78,"new jersey"
45,-109,1.64,2.56,"montana"
48,-108,1.27,2.18,"montana"
32,-95,2.59,3.26,"texas"
33,-115,3.17,4,"california"
36,-91,2.24,3.01,"arkansas"
37,-95,2.26,2.94,"oklahoma"
42,-106,1.98,2.78,"wyoming"
37,-122,2.41,3.36,"california"
40,-84,1.8,2.57,"ohio"
43,-78,1.33,2.27,"new york"
32,-88,2.58,3.3,"alabama"
33,-110,3.23,4.05,"arizona"
36,-116,2.86,3.76,"california"
37,-98,2.4,3.11,"kansas"
39,-105,2.43,3.36,"colorado"
33,-85,2.54,3.19,"georgia"
38,-120,2.42,3.32,"california"
36,-105,2.91,3.8,"new mexico"
37,-89,2.05,2.84,"kentucky"
42,-124,1.7,2.58,"california"
27,-99,3.03,3.71,"texas"
46,-121,1.37,2.25,"washington"
39,-104,2.36,3.2,"colorado"
43,-76,1.55,2.44,"new york"
44,-70,1.71,2.67,"maine"
28,-81,3.26,3.98,"florida"
33,-96,2.56,3.31,"texas"
46,-97,1.5,2.39,"north dakota"
37,-116,2.67,3.59,"nevada"
39,-111,2.49,3.3,"utah"
40,-103,2.19,3.03,"colorado"
43,-99,1.73,2.57,"south dakota"
44,-83,1.25,2.19,"michigan"
46,-90,1.45,2.39,"wisconsin"
37,-107,2.8,3.66,"colorado"
39,-86,1.8,2.54,"indiana"
40,-112,2.33,3.19,"utah"
43,-90,1.81,2.73,"wisconsin"
44,-92,1.73,2.68,"minnesota"
33,-82,2.67,3.31,"georgia"
46,-115,1.51,2.42,"idaho"
49,-103,1.23,2.12,"north dakota"
39,-93,2.08,2.75,"missouri"
40,-85,1.82,2.57,"indiana"
43,-113,1.9,2.83,"idaho"
44,-97,1.68,2.45,"south dakota"
46,-108,1.47,2.42,"montana"
30,-103,3.33,4.18,"texas"
36,-77,2.34,3.06,"north carolina"
39,-117,2.43,3.36,"nevada"
34,-107,3.23,4.16,"new mexico"
40,-94,2.06,2.77,"missouri"
43,-121,1.86,2.84,"oregon"
38,-84,1.85,2.55,"kentucky"
43,-104,1.91,2.78,"nebraska"
44,-106,1.75,2.67,"wyoming"
46,-101,1.52,2.39,"north dakota"
30,-96,2.7,3.25,"texas"
37,-80,2.19,2.92,"virginia"
34,-116,3.06,3.93,"california"
35,-102,2.83,3.59,"texas"
40,-99,2.12,2.8,"kansas"
35,-117,3.02,3.93,"california"
38,-77,2.1,2.88,"virginia"
44,-103,1.69,2.57,"south dakota"
41,-81,1.66,2.47,"ohio"
31,-97,2.74,3.38,"texas"
34,-85,2.39,3.02,"georgia"
35,-109,2.96,3.85,"new mexico"
44,-112,1.87,2.77,"idaho"
41,-76,1.74,2.59,"pennsylvania"
30,-82,2.96,3.64,"florida"
31,-96,2.66,3.31,"texas"
45,-72,1.59,2.5,"vermont"
34,-94,2.43,3.15,"arkansas"
35,-116,3.03,3.91,"california"
47,-97,1.42,2.34,"north dakota"
44,-117,1.64,2.61,"oregon"
28,-100,3.06,3.73,"texas"
41,-99,2.01,2.73,"nebraska"
31,-87,2.73,3.44,"florida"
35,-91,2.31,3.03,"arkansas"
40,-122,2.05,2.96,"california"
47,-96,1.48,2.44,"minnesota"
38,-104,2.51,3.39,"colorado"
48,-119,1.35,2.27,"washington"
36,-121,2.62,3.51,"california"
41,-94,1.92,2.62,"iowa"
42,-76,1.68,2.53,"pennsylvania"
34,-80,2.51,3.2,"south carolina"
35,-98,2.62,3.3,"oklahoma"
48,-95,1.4,2.35,"minnesota"
38,-113,2.57,3.4,"utah"
29,-100,3.03,3.7,"texas"
41,-85,1.8,2.56,"indiana"
42,-93,1.8,2.54,"iowa"
45,-89,1.62,2.58,"wisconsin"
34,-81,2.56,3.25,"south carolina"
47,-110,1.38,2.31,"montana"
38,-90,2.03,2.79,"illinois"
41,-112,2.18,3.06,"utah"
42,-86,1.75,2.55,"michigan"
45,-100,1.6,2.38,"south dakota"
35,-80,2.46,3.16,"north carolina"
47,-101,1.42,2.29,"north dakota"
48,-109,1.3,2.18,"montana"
38,-99,2.37,3.03,"kansas"
41,-120,2.12,3,"nevada"
41,-103,2.09,2.95,"colorado"
42,-111,2.15,3.07,"wyoming"
49,-119,1.3,2.25,"washington"
39,-77,1.96,2.76,"maryland"
45,-107,1.6,2.51,"wyoming"
47,-68,1.49,2.42,"maine"
48,-102,1.32,2.21,"north dakota"
32,-105,3.26,4.07,"new mexico"
33,-105,3.19,4.01,"new mexico"
36,-93,2.3,3.02,"arkansas"
42,-104,1.92,2.79,"nebraska"
37,-120,2.5,3.49,"california"
40,-78,1.84,2.65,"pennsylvania"
45,-110,1.64,2.56,"montana"
48,-107,1.27,2.18,"montana"
32,-98,2.83,3.52,"texas"
33,-116,3.04,3.84,"california"
36,-86,2.08,2.78,"tennessee"
37,-96,2.31,3,"oklahoma"
42,-105,1.93,2.76,"wyoming"
40,-83,1.78,2.56,"ohio"
43,-79,1.38,2.23,"new york"
32,-87,2.61,3.3,"alabama"
33,-91,2.48,3.11,"mississippi"
36,-115,2.82,3.67,"nevada"
37,-87,1.99,2.79,"kentucky"
39,-106,2.47,3.39,"colorado"
33,-86,2.49,3.15,"alabama"
38,-119,2.52,3.44,"california"
36,-108,2.91,3.82,"new mexico"
37,-90,2.12,2.88,"missouri"
42,-123,1.85,2.76,"california"
46,-120,1.33,2.32,"washington"
39,-113,2.39,3.27,"utah"
43,-93,1.72,2.5,"iowa"
33,-93,2.48,3.16,"louisiana"
46,-96,1.58,2.53,"minnesota"
37,-113,2.65,3.39,"arizona"
39,-112,2.44,3.24,"utah"
40,-106,2.31,3.23,"colorado"
43,-100,1.76,2.57,"south dakota"
46,-89,1.45,2.39,"wisconsin"
37,-108,2.71,3.48,"colorado"
39,-87,1.84,2.61,"indiana"
40,-111,2.36,3.2,"utah"
43,-91,1.81,2.72,"wisconsin"
44,-91,1.73,2.64,"wisconsin"
46,-114,1.6,2.56,"montana"
39,-94,2.1,2.74,"missouri"
40,-88,1.85,2.6,"illinois"
43,-114,1.95,2.88,"idaho"
44,-100,1.67,2.46,"south dakota"
46,-107,1.47,2.42,"montana"
30,-102,3.21,3.98,"texas"
36,-80,2.35,3.05,"north carolina"
39,-118,2.42,3.39,"nevada"
34,-106,3.14,4.05,"new mexico"
40,-93,2.02,2.68,"missouri"
43,-122,1.79,2.75,"oregon"
47,-117,1.32,2.25,"idaho"
38,-83,1.87,2.58,"kentucky"
43,-105,1.86,2.69,"wyoming"
44,-105,1.73,2.61,"wyoming"
46,-68,1.55,2.46,"maine"
30,-95,2.65,3.22,"texas"
37,-77,2.22,2.97,"virginia"
34,-115,3.05,3.93,"california"
35,-103,2.91,3.77,"texas"
35,-118,2.9,3.77,"california"
44,-114,1.95,2.95,"idaho"
41,-82,1.6,2.34,"ohio"
31,-98,2.87,3.51,"texas"
34,-92,2.4,3.11,"arkansas"
35,-110,2.97,3.87,"arizona"
44,-111,1.86,2.78,"wyoming"
31,-89,2.69,3.41,"mississippi"
45,-69,1.61,2.55,"maine"
34,-93,2.42,3.13,"arkansas"
35,-85,2.24,2.86,"tennessee"
47,-98,1.42,2.34,"north dakota"
44,-120,1.66,2.6,"oregon"
28,-99,2.94,3.61,"texas"
41,-100,2.05,2.8,"nebraska"
31,-88,2.72,3.41,"alabama"
